1a3aA
TM	RMSD	GDTTS	MODEL
0.1723	21.57	13.21	./distfold-jobs/output-1ej8A/1ej8A_4.pdb
0.1750	28.22	12.68	./distfold-jobs/output-1ej8A/1ej8A_11.pdb
0.1751	23.72	12.86	./distfold-jobs/output-1ej8A/1ej8A_9.pdb
0.1755	21.75	13.57	./distfold-jobs/output-1ej8A/1ej8A_model5.pdb
0.1760	22.73	13.93	./distfold-jobs/output-1ej8A/1ej8A_6.pdb
0.1770	25.92	14.11	./distfold-jobs/output-1ej8A/1ej8A_15.pdb
0.1819	23.97	12.86	./distfold-jobs/output-1ej8A/1ej8A_12.pdb
0.1860	19.55	13.93	./distfold-jobs/output-1ej8A/1ej8A_model3.pdb
0.1888	23.70	14.46	./distfold-jobs/output-1ej8A/1ej8A_1.pdb
0.1949	20.18	15.71	./distfold-jobs/output-1ej8A/1ej8A_model4.pdb
0.2022	25.32	15.71	./distfold-jobs/output-1ej8A/1ej8A_16.pdb
1ek0A
TM	RMSD	GDTTS	MODEL
0.0825	96.18	7.44	./distfold-jobs/output-1ek0A/extended.pdb
0.2183	16.81	16.07	./distfold-jobs/output-1ek0A/1ek0A_10.pdb
0.2268	17.31	16.82	./distfold-jobs/output-1ek0A/1ek0A_3.pdb
0.2375	16.73	17.41	./distfold-jobs/output-1ek0A/1ek0A_4.pdb
0.2414	17.01	18.45	./distfold-jobs/output-1ek0A/1ek0A_14.pdb
0.2423	16.62	18.01	./distfold-jobs/output-1ek0A/1ek0A_1.pdb
0.2507	16.94	18.30	./distfold-jobs/output-1ek0A/1ek0A_13.pdb
0.2679	16.61	18.75	./distfold-jobs/output-1ek0A/1ek0A_5.pdb
0.2694	17.37	20.39	./distfold-jobs/output-1ek0A/1ek0A_9.pdb
0.4006	8.18	29.61	./distfold-jobs/output-1ek0A/1ek0A_model2.pdb
0.4157	8.11	30.65	./distfold-jobs/output-1ek0A/1ek0A_11.pdb
0.4175	7.83	29.46	./distfold-jobs/output-1ek0A/1ek0A_12.pdb
0.4204	8.21	30.80	./distfold-jobs/output-1ek0A/1ek0A_16.pdb
0.4264	7.85	31.10	./distfold-jobs/output-1ek0A/1ek0A_model1.pdb
0.4304	7.86	31.85	./distfold-jobs/output-1ek0A/1ek0A_2.pdb
0.4358	7.72	30.95	./distfold-jobs/output-1ek0A/1ek0A_model5.pdb
0.4424	7.46	31.25	./distfold-jobs/output-1ek0A/1ek0A_7.pdb
0.4470	7.16	32.44	./distfold-jobs/output-1ek0A/1ek0A_model4.pdb
0.4476	7.43	31.70	./distfold-jobs/output-1ek0A/1ek0A_15.pdb
0.4503	7.04	33.04	./distfold-jobs/output-1ek0A/1ek0A_17.pdb
0.4638	6.39	33.33	./distfold-jobs/output-1ek0A/1ek0A_model3.pdb
1f6bA
TM	RMSD	GDTTS	MODEL
0.0808	97.05	6.96	./distfold-jobs/output-1f6bA/extended.pdb
0.2027	18.31	15.34	./distfold-jobs/output-1f6bA/1f6bA_14.pdb
0.2062	17.42	14.63	./distfold-jobs/output-1f6bA/1f6bA_10.pdb
0.2067	18.40	15.06	./distfold-jobs/output-1f6bA/1f6bA_model2.pdb
0.2146	18.29	16.34	./distfold-jobs/output-1f6bA/1f6bA_model4.pdb
0.2176	18.43	16.62	./distfold-jobs/output-1f6bA/1f6bA_8.pdb
0.2184	17.29	16.05	./distfold-jobs/output-1f6bA/1f6bA_17.pdb
0.2191	17.33	16.48	./distfold-jobs/output-1f6bA/1f6bA_model1.pdb
0.2253	17.95	17.05	./distfold-jobs/output-1f6bA/1f6bA_20.pdb
0.2258	16.58	16.48	./distfold-jobs/output-1f6bA/1f6bA_7.pdb
0.2272	17.30	17.33	./distfold-jobs/output-1f6bA/1f6bA_4.pdb
0.2282	17.35	16.05	./distfold-jobs/output-1f6bA/1f6bA_model5.pdb
0.2408	17.94	16.76	./distfold-jobs/output-1f6bA/1f6bA_11.pdb
0.3324	14.24	22.16	./distfold-jobs/output-1f6bA/1f6bA_18.pdb
0.3331	13.28	23.44	./distfold-jobs/output-1f6bA/1f6bA_9.pdb
0.3352	14.82	23.72	./distfold-jobs/output-1f6bA/1f6bA_model3.pdb
0.3448	13.50	23.30	./distfold-jobs/output-1f6bA/1f6bA_2.pdb
0.3533	12.09	24.29	./distfold-jobs/output-1f6bA/1f6bA_19.pdb
0.3648	12.99	24.86	./distfold-jobs/output-1f6bA/1f6bA_12.pdb
0.3695	13.97	25.85	./distfold-jobs/output-1f6bA/1f6bA_16.pdb
0.4161	12.00	30.11	./distfold-jobs/output-1f6bA/1f6bA_1.pdb
1fcyA
TM	RMSD	GDTTS	MODEL
0.0670	130.50	5.08	./distfold-jobs/output-1fcyA/extended.pdb
0.1993	31.76	14.51	./distfold-jobs/output-1fcyA/1fcyA_1.pdb
0.2046	31.89	14.30	./distfold-jobs/output-1fcyA/1fcyA_9.pdb
0.2102	32.75	13.14	./distfold-jobs/output-1fcyA/1fcyA_18.pdb
0.2111	33.27	15.04	./distfold-jobs/output-1fcyA/1fcyA_14.pdb
0.2116	30.58	13.98	./distfold-jobs/output-1fcyA/1fcyA_15.pdb
0.2138	33.40	15.25	./distfold-jobs/output-1fcyA/1fcyA_5.pdb
0.2214	32.02	15.68	./distfold-jobs/output-1fcyA/1fcyA_model4.pdb
0.2217	33.08	14.62	./distfold-jobs/output-1fcyA/1fcyA_12.pdb
0.2224	30.43	15.04	./distfold-jobs/output-1fcyA/1fcyA_16.pdb
0.2351	33.27	15.89	./distfold-jobs/output-1fcyA/1fcyA_6.pdb
0.2447	30.38	16.84	./distfold-jobs/output-1fcyA/1fcyA_model2.pdb
0.2613	32.60	18.11	./distfold-jobs/output-1fcyA/1fcyA_4.pdb
0.2621	33.53	16.84	./distfold-jobs/output-1fcyA/1fcyA_20.pdb
0.2633	32.09	17.06	./distfold-jobs/output-1fcyA/1fcyA_11.pdb
0.2676	31.73	18.54	./distfold-jobs/output-1fcyA/1fcyA_19.pdb
0.2770	29.24	19.07	./distfold-jobs/output-1fcyA/1fcyA_model1.pdb
0.2972	30.17	19.17	./distfold-jobs/output-1fcyA/1fcyA_model5.pdb
0.3021	27.61	21.29	./distfold-jobs/output-1fcyA/1fcyA_model3.pdb
0.3131	29.02	20.44	./distfold-jobs/output-1fcyA/1fcyA_2.pdb
0.3225	30.35	20.44	./distfold-jobs/output-1fcyA/1fcyA_3.pdb
1fk5A
TM	RMSD	GDTTS	MODEL
0.0949	50.26	11.02	./distfold-jobs/output-1fk5A/extended.pdb
0.2080	13.71	26.08	./distfold-jobs/output-1fk5A/1fk5A_5.pdb
0.2100	15.01	22.58	./distfold-jobs/output-1fk5A/1fk5A_8.pdb
0.2106	15.74	24.73	./distfold-jobs/output-1fk5A/1fk5A_12.pdb
0.2128	14.06	27.42	./distfold-jobs/output-1fk5A/1fk5A_17.pdb
0.2161	12.28	26.08	./distfold-jobs/output-1fk5A/1fk5A_model1.pdb
0.2225	13.27	26.34	./distfold-jobs/output-1fk5A/1fk5A_1.pdb
0.2239	15.90	27.96	./distfold-jobs/output-1fk5A/1fk5A_9.pdb
0.2253	15.89	25.54	./distfold-jobs/output-1fk5A/1fk5A_13.pdb
0.2280	10.91	27.42	./distfold-jobs/output-1fk5A/1fk5A_6.pdb
0.2286	15.19	25.00	./distfold-jobs/output-1fk5A/1fk5A_16.pdb
0.2334	14.35	28.23	./distfold-jobs/output-1fk5A/1fk5A_model3.pdb
0.2364	13.06	25.00	./distfold-jobs/output-1fk5A/1fk5A_2.pdb
0.2414	14.29	26.88	./distfold-jobs/output-1fk5A/1fk5A_20.pdb
0.2415	12.32	25.54	./distfold-jobs/output-1fk5A/1fk5A_model4.pdb
0.2438	12.14	28.23	./distfold-jobs/output-1fk5A/1fk5A_19.pdb
0.2537	12.46	28.49	./distfold-jobs/output-1fk5A/1fk5A_7.pdb
0.2661	11.38	32.80	./distfold-jobs/output-1fk5A/1fk5A_model2.pdb
0.2671	12.11	30.11	./distfold-jobs/output-1fk5A/1fk5A_14.pdb
0.2691	12.13	33.06	./distfold-jobs/output-1fk5A/1fk5A_model5.pdb
0.2799	13.29	34.41	./distfold-jobs/output-1fk5A/1fk5A_11.pdb
1fl0A
TM	RMSD	GDTTS	MODEL
0.0881	88.23	8.38	./distfold-jobs/output-1fl0A/extended.pdb
0.1459	39.50	10.21	./distfold-jobs/output-1fl0A/1fl0A_14.pdb
0.1484	33.65	10.06	./distfold-jobs/output-1fl0A/1fl0A_8.pdb
0.1493	33.60	10.52	./distfold-jobs/output-1fl0A/1fl0A_model4.pdb
0.1494	37.16	10.67	./distfold-jobs/output-1fl0A/1fl0A_7.pdb
0.1522	40.19	10.52	./distfold-jobs/output-1fl0A/1fl0A_2.pdb
0.1534	33.71	11.13	./distfold-jobs/output-1fl0A/1fl0A_9.pdb
0.1584	35.38	11.43	./distfold-jobs/output-1fl0A/1fl0A_20.pdb
0.1585	35.59	11.59	./distfold-jobs/output-1fl0A/1fl0A_model1.pdb
0.1665	39.10	11.59	./distfold-jobs/output-1fl0A/1fl0A_16.pdb
0.1685	38.75	12.35	./distfold-jobs/output-1fl0A/1fl0A_model3.pdb
0.1698	37.42	12.65	./distfold-jobs/output-1fl0A/1fl0A_model2.pdb
0.1701	38.31	11.59	./distfold-jobs/output-1fl0A/1fl0A_18.pdb
0.1705	35.89	12.96	./distfold-jobs/output-1fl0A/1fl0A_12.pdb
0.1763	36.72	12.80	./distfold-jobs/output-1fl0A/1fl0A_13.pdb
0.1817	41.70	12.50	./distfold-jobs/output-1fl0A/1fl0A_17.pdb
0.1864	39.10	14.33	./distfold-jobs/output-1fl0A/1fl0A_11.pdb
0.1889	39.84	13.41	./distfold-jobs/output-1fl0A/1fl0A_model5.pdb
0.1935	35.18	13.26	./distfold-jobs/output-1fl0A/1fl0A_1.pdb
0.2081	43.66	15.24	./distfold-jobs/output-1fl0A/1fl0A_10.pdb
0.2090	36.65	14.48	./distfold-jobs/output-1fl0A/1fl0A_19.pdb
1fnaA
TM	RMSD	GDTTS	MODEL
0.1178	54.92	12.64	./distfold-jobs/output-1fnaA/extended.pdb
0.2181	14.80	23.35	./distfold-jobs/output-1fnaA/1fnaA_12.pdb
0.2193	15.21	21.15	./distfold-jobs/output-1fnaA/1fnaA_13.pdb
0.2202	15.56	21.98	./distfold-jobs/output-1fnaA/1fnaA_6.pdb
0.2208	14.04	21.15	./distfold-jobs/output-1fnaA/1fnaA_model4.pdb
0.2214	12.71	22.80	./distfold-jobs/output-1fnaA/1fnaA_2.pdb
0.2227	14.95	21.43	./distfold-jobs/output-1fnaA/1fnaA_16.pdb
0.2348	11.78	22.25	./distfold-jobs/output-1fnaA/1fnaA_1.pdb
0.2410	10.95	25.82	./distfold-jobs/output-1fnaA/1fnaA_3.pdb
0.2490	11.81	26.37	./distfold-jobs/output-1fnaA/1fnaA_4.pdb
0.2637	10.92	26.10	./distfold-jobs/output-1fnaA/1fnaA_18.pdb
0.2644	10.83	28.57	./distfold-jobs/output-1fnaA/1fnaA_15.pdb
0.2685	14.42	25.55	./distfold-jobs/output-1fnaA/1fnaA_19.pdb
0.2710	11.47	28.30	./distfold-jobs/output-1fnaA/1fnaA_17.pdb
0.2731	10.26	28.85	./distfold-jobs/output-1fnaA/1fnaA_20.pdb
0.2735	10.38	28.57	./distfold-jobs/output-1fnaA/1fnaA_model1.pdb
0.2754	10.80	31.87	./distfold-jobs/output-1fnaA/1fnaA_model2.pdb
0.2783	11.15	28.57	./distfold-jobs/output-1fnaA/1fnaA_model5.pdb
0.2867	10.91	26.92	./distfold-jobs/output-1fnaA/1fnaA_5.pdb
0.2907	10.23	30.77	./distfold-jobs/output-1fnaA/1fnaA_model3.pdb
0.3076	10.17	30.22	./distfold-jobs/output-1fnaA/1fnaA_10.pdb
1fqtA
TM	RMSD	GDTTS	MODEL
0.1096	62.39	10.78	./distfold-jobs/output-1fqtA/extended.pdb
0.1572	16.71	14.45	./distfold-jobs/output-1fqtA/1fqtA_model5.pdb
0.1598	17.41	14.68	./distfold-jobs/output-1fqtA/1fqtA_20.pdb
0.1636	16.11	14.22	./distfold-jobs/output-1fqtA/1fqtA_2.pdb
0.1637	15.65	14.45	./distfold-jobs/output-1fqtA/1fqtA_model2.pdb
0.1678	17.29	14.91	./distfold-jobs/output-1fqtA/1fqtA_model4.pdb
0.1714	15.65	14.45	./distfold-jobs/output-1fqtA/1fqtA_18.pdb
0.1728	14.79	14.91	./distfold-jobs/output-1fqtA/1fqtA_13.pdb
0.1749	16.65	15.37	./distfold-jobs/output-1fqtA/1fqtA_5.pdb
0.1773	17.40	14.68	./distfold-jobs/output-1fqtA/1fqtA_model1.pdb
0.1806	15.26	15.60	./distfold-jobs/output-1fqtA/1fqtA_8.pdb
0.1871	15.01	16.51	./distfold-jobs/output-1fqtA/1fqtA_10.pdb
0.2051	14.30	18.12	./distfold-jobs/output-1fqtA/1fqtA_11.pdb
0.2108	14.21	19.95	./distfold-jobs/output-1fqtA/1fqtA_1.pdb
0.2270	14.25	19.72	./distfold-jobs/output-1fqtA/1fqtA_7.pdb
0.2272	15.35	19.72	./distfold-jobs/output-1fqtA/1fqtA_19.pdb
0.2328	14.46	19.27	./distfold-jobs/output-1fqtA/1fqtA_6.pdb
0.2337	14.56	19.95	./distfold-jobs/output-1fqtA/1fqtA_model3.pdb
0.2383	14.41	19.95	./distfold-jobs/output-1fqtA/1fqtA_3.pdb
0.2441	14.58	22.02	./distfold-jobs/output-1fqtA/1fqtA_12.pdb
0.2477	15.46	21.10	./distfold-jobs/output-1fqtA/1fqtA_17.pdb
1fvgA
TM	RMSD	GDTTS	MODEL
0.0694	108.70	6.12	./distfold-jobs/output-1fvgA/extended.pdb
0.1966	26.19	13.41	./distfold-jobs/output-1fvgA/1fvgA_1.pdb
0.2046	25.71	13.54	./distfold-jobs/output-1fvgA/1fvgA_7.pdb
0.2184	27.77	16.28	./distfold-jobs/output-1fvgA/1fvgA_12.pdb
0.2195	23.85	14.45	./distfold-jobs/output-1fvgA/1fvgA_14.pdb
0.2200	26.05	13.93	./distfold-jobs/output-1fvgA/1fvgA_18.pdb
0.2279	22.55	13.80	./distfold-jobs/output-1fvgA/1fvgA_11.pdb
0.2306	23.28	16.02	./distfold-jobs/output-1fvgA/1fvgA_model5.pdb
0.2320	24.24	14.58	./distfold-jobs/output-1fvgA/1fvgA_13.pdb
0.2388	26.18	15.23	./distfold-jobs/output-1fvgA/1fvgA_17.pdb
0.2392	22.32	15.36	./distfold-jobs/output-1fvgA/1fvgA_model4.pdb
0.2574	25.97	18.62	./distfold-jobs/output-1fvgA/1fvgA_model3.pdb
0.2679	24.03	17.45	./distfold-jobs/output-1fvgA/1fvgA_3.pdb
0.2692	22.46	17.71	./distfold-jobs/output-1fvgA/1fvgA_4.pdb
0.2730	26.63	18.88	./distfold-jobs/output-1fvgA/1fvgA_16.pdb
0.2808	18.38	18.88	./distfold-jobs/output-1fvgA/1fvgA_2.pdb
0.2825	25.68	18.75	./distfold-jobs/output-1fvgA/1fvgA_15.pdb
0.2829	21.15	17.71	./distfold-jobs/output-1fvgA/1fvgA_10.pdb
0.2832	23.19	17.45	./distfold-jobs/output-1fvgA/1fvgA_19.pdb
0.2895	25.23	20.70	./distfold-jobs/output-1fvgA/1fvgA_model2.pdb
0.3466	24.87	22.92	./distfold-jobs/output-1fvgA/1fvgA_model1.pdb
1fvkA
TM	RMSD	GDTTS	MODEL
0.0656	108.20	5.85	./distfold-jobs/output-1fvkA/extended.pdb
0.1871	21.95	13.83	./distfold-jobs/output-1fvkA/1fvkA_20.pdb
0.1940	18.74	14.49	./distfold-jobs/output-1fvkA/1fvkA_4.pdb
0.1982	19.85	14.36	./distfold-jobs/output-1fvkA/1fvkA_1.pdb
0.2015	20.46	15.96	./distfold-jobs/output-1fvkA/1fvkA_11.pdb
0.2052	23.35	15.69	./distfold-jobs/output-1fvkA/1fvkA_model3.pdb
0.2098	21.39	15.03	./distfold-jobs/output-1fvkA/1fvkA_13.pdb
0.2166	21.16	15.43	./distfold-jobs/output-1fvkA/1fvkA_3.pdb
0.2172	19.83	15.29	./distfold-jobs/output-1fvkA/1fvkA_5.pdb
0.2206	22.05	16.22	./distfold-jobs/output-1fvkA/1fvkA_19.pdb
0.2207	19.16	16.22	./distfold-jobs/output-1fvkA/1fvkA_9.pdb
0.2232	22.16	15.56	./distfold-jobs/output-1fvkA/1fvkA_10.pdb
0.2263	21.96	16.22	./distfold-jobs/output-1fvkA/1fvkA_model2.pdb
0.2279	22.79	16.76	./distfold-jobs/output-1fvkA/1fvkA_7.pdb
0.2324	19.13	16.89	./distfold-jobs/output-1fvkA/1fvkA_12.pdb
0.2393	22.20	17.95	./distfold-jobs/output-1fvkA/1fvkA_model5.pdb
0.2400	22.30	16.22	./distfold-jobs/output-1fvkA/1fvkA_16.pdb
0.2419	17.47	16.49	./distfold-jobs/output-1fvkA/1fvkA_15.pdb
0.2444	20.26	19.02	./distfold-jobs/output-1fvkA/1fvkA_model4.pdb
0.2526	22.35	17.95	./distfold-jobs/output-1fvkA/1fvkA_8.pdb
0.2680	21.03	18.75	./distfold-jobs/output-1fvkA/1fvkA_model1.pdb
1fx2A
TM	RMSD	GDTTS	MODEL
0.0886	62.32	9.82	./distfold-jobs/output-1fx2A/extended.pdb
0.2162	12.35	22.54	./distfold-jobs/output-1fx2A/1fx2A_20.pdb
0.2246	14.59	23.88	./distfold-jobs/output-1fx2A/1fx2A_9.pdb
0.2373	15.57	24.55	./distfold-jobs/output-1fx2A/1fx2A_10.pdb
0.2396	15.65	25.45	./distfold-jobs/output-1fx2A/1fx2A_7.pdb
0.2422	15.30	26.12	./distfold-jobs/output-1fx2A/1fx2A_13.pdb
0.2454	14.32	26.12	./distfold-jobs/output-1fx2A/1fx2A_6.pdb
0.2460	14.82	25.45	./distfold-jobs/output-1fx2A/1fx2A_model5.pdb
0.2477	14.21	24.78	./distfold-jobs/output-1fx2A/1fx2A_11.pdb
0.2482	12.00	26.34	./distfold-jobs/output-1fx2A/1fx2A_model4.pdb
0.2500	16.02	24.33	./distfold-jobs/output-1fx2A/1fx2A_14.pdb
0.2594	13.98	25.22	./distfold-jobs/output-1fx2A/1fx2A_17.pdb
0.2617	15.63	27.23	./distfold-jobs/output-1fx2A/1fx2A_1.pdb
0.2674	14.72	27.23	./distfold-jobs/output-1fx2A/1fx2A_3.pdb
0.2679	17.87	27.23	./distfold-jobs/output-1fx2A/1fx2A_15.pdb
0.2742	12.68	27.23	./distfold-jobs/output-1fx2A/1fx2A_5.pdb
0.2774	10.70	25.22	./distfold-jobs/output-1fx2A/1fx2A_model2.pdb
0.2786	13.71	27.23	./distfold-jobs/output-1fx2A/1fx2A_18.pdb
0.2817	14.03	29.69	./distfold-jobs/output-1fx2A/1fx2A_model1.pdb
0.3035	10.88	31.92	./distfold-jobs/output-1fx2A/1fx2A_model3.pdb
0.3124	15.75	29.46	./distfold-jobs/output-1fx2A/1fx2A_8.pdb
1g2rA
TM	RMSD	GDTTS	MODEL
0.1269	57.20	11.70	./distfold-jobs/output-1g2rA/extended.pdb
0.2200	9.67	26.60	./distfold-jobs/output-1g2rA/1g2rA_10.pdb
0.2289	12.62	23.40	./distfold-jobs/output-1g2rA/1g2rA_9.pdb
0.2334	11.07	27.39	./distfold-jobs/output-1g2rA/1g2rA_6.pdb
0.2354	12.31	28.99	./distfold-jobs/output-1g2rA/1g2rA_model4.pdb
0.2460	12.52	30.32	./distfold-jobs/output-1g2rA/1g2rA_model5.pdb
0.2473	12.95	26.86	./distfold-jobs/output-1g2rA/1g2rA_11.pdb
0.2488	11.34	30.32	./distfold-jobs/output-1g2rA/1g2rA_model2.pdb
0.2490	13.97	27.93	./distfold-jobs/output-1g2rA/1g2rA_model1.pdb
0.2492	13.49	28.72	./distfold-jobs/output-1g2rA/1g2rA_3.pdb
0.2525	13.45	29.79	./distfold-jobs/output-1g2rA/1g2rA_2.pdb
0.2534	14.27	29.52	./distfold-jobs/output-1g2rA/1g2rA_15.pdb
0.2538	11.04	28.46	./distfold-jobs/output-1g2rA/1g2rA_18.pdb
0.2585	13.11	29.79	./distfold-jobs/output-1g2rA/1g2rA_12.pdb
0.2682	14.24	30.05	./distfold-jobs/output-1g2rA/1g2rA_7.pdb
0.2724	12.83	28.19	./distfold-jobs/output-1g2rA/1g2rA_8.pdb
0.2786	12.85	28.99	./distfold-jobs/output-1g2rA/1g2rA_13.pdb
0.2799	12.94	31.65	./distfold-jobs/output-1g2rA/1g2rA_20.pdb
0.2961	13.75	29.52	./distfold-jobs/output-1g2rA/1g2rA_4.pdb
0.3019	11.66	35.37	./distfold-jobs/output-1g2rA/1g2rA_model3.pdb
0.3032	11.14	30.05	./distfold-jobs/output-1g2rA/1g2rA_14.pdb
1g9oA
TM	RMSD	GDTTS	MODEL
0.1160	56.81	12.36	./distfold-jobs/output-1g9oA/extended.pdb
0.1886	15.16	21.70	./distfold-jobs/output-1g9oA/1g9oA_6.pdb
0.1889	15.93	21.70	./distfold-jobs/output-1g9oA/1g9oA_4.pdb
0.1903	17.03	21.70	./distfold-jobs/output-1g9oA/1g9oA_17.pdb
0.1943	17.29	19.78	./distfold-jobs/output-1g9oA/1g9oA_18.pdb
0.1983	15.65	22.80	./distfold-jobs/output-1g9oA/1g9oA_model5.pdb
0.1986	16.34	23.35	./distfold-jobs/output-1g9oA/1g9oA_10.pdb
0.1996	16.08	22.80	./distfold-jobs/output-1g9oA/1g9oA_19.pdb
0.2020	16.23	21.70	./distfold-jobs/output-1g9oA/1g9oA_7.pdb
0.2028	13.84	22.80	./distfold-jobs/output-1g9oA/1g9oA_model1.pdb
0.2029	13.82	22.80	./distfold-jobs/output-1g9oA/1g9oA_15.pdb
0.2046	16.12	21.70	./distfold-jobs/output-1g9oA/1g9oA_12.pdb
0.2086	14.74	22.53	./distfold-jobs/output-1g9oA/1g9oA_model3.pdb
0.2105	16.65	23.35	./distfold-jobs/output-1g9oA/1g9oA_model4.pdb
0.2114	13.85	24.18	./distfold-jobs/output-1g9oA/1g9oA_model2.pdb
0.2157	15.33	25.00	./distfold-jobs/output-1g9oA/1g9oA_5.pdb
0.2365	13.13	26.10	./distfold-jobs/output-1g9oA/1g9oA_3.pdb
0.2369	11.37	24.73	./distfold-jobs/output-1g9oA/1g9oA_16.pdb
0.2372	14.55	25.00	./distfold-jobs/output-1g9oA/1g9oA_8.pdb
0.2526	9.87	26.65	./distfold-jobs/output-1g9oA/1g9oA_1.pdb
0.2553	10.91	27.47	./distfold-jobs/output-1g9oA/1g9oA_20.pdb
1gbsA
TM	RMSD	GDTTS	MODEL
0.0674	105.00	5.54	./distfold-jobs/output-1gbsA/extended.pdb
0.2215	24.93	18.11	./distfold-jobs/output-1gbsA/1gbsA_17.pdb
0.2247	23.35	15.95	./distfold-jobs/output-1gbsA/1gbsA_6.pdb
0.2301	25.07	16.89	./distfold-jobs/output-1gbsA/1gbsA_19.pdb
0.2327	26.94	15.81	./distfold-jobs/output-1gbsA/1gbsA_4.pdb
0.2330	23.82	17.57	./distfold-jobs/output-1gbsA/1gbsA_5.pdb
0.2350	19.75	17.16	./distfold-jobs/output-1gbsA/1gbsA_9.pdb
0.2372	24.74	17.43	./distfold-jobs/output-1gbsA/1gbsA_18.pdb
0.2423	25.41	16.62	./distfold-jobs/output-1gbsA/1gbsA_13.pdb
0.2454	26.98	17.97	./distfold-jobs/output-1gbsA/1gbsA_20.pdb
0.2501	23.52	17.57	./distfold-jobs/output-1gbsA/1gbsA_model2.pdb
0.2613	24.84	19.19	./distfold-jobs/output-1gbsA/1gbsA_7.pdb
0.2706	21.82	18.92	./distfold-jobs/output-1gbsA/1gbsA_16.pdb
0.2737	21.45	19.19	./distfold-jobs/output-1gbsA/1gbsA_14.pdb
0.2879	20.03	19.86	./distfold-jobs/output-1gbsA/1gbsA_model4.pdb
0.2920	25.40	21.62	./distfold-jobs/output-1gbsA/1gbsA_15.pdb
0.2980	23.71	21.08	./distfold-jobs/output-1gbsA/1gbsA_model5.pdb
0.3083	22.09	21.89	./distfold-jobs/output-1gbsA/1gbsA_model3.pdb
0.3128	19.01	20.81	./distfold-jobs/output-1gbsA/1gbsA_10.pdb
0.3174	25.70	22.70	./distfold-jobs/output-1gbsA/1gbsA_12.pdb
0.3645	23.82	26.62	./distfold-jobs/output-1gbsA/1gbsA_model1.pdb
1gmiA
TM	RMSD	GDTTS	MODEL
0.0905	79.38	9.44	./distfold-jobs/output-1gmiA/extended.pdb
0.1523	24.97	13.89	./distfold-jobs/output-1gmiA/1gmiA_7.pdb
0.1629	22.04	13.33	./distfold-jobs/output-1gmiA/1gmiA_18.pdb
0.1677	25.17	12.22	./distfold-jobs/output-1gmiA/1gmiA_3.pdb
0.1719	26.93	13.33	./distfold-jobs/output-1gmiA/1gmiA_10.pdb
0.1722	21.08	12.96	./distfold-jobs/output-1gmiA/1gmiA_1.pdb
0.1792	26.03	14.07	./distfold-jobs/output-1gmiA/1gmiA_2.pdb
0.1801	21.55	13.52	./distfold-jobs/output-1gmiA/1gmiA_13.pdb
0.1814	25.33	15.19	./distfold-jobs/output-1gmiA/1gmiA_9.pdb
0.1819	23.01	14.81	./distfold-jobs/output-1gmiA/1gmiA_model2.pdb
0.1889	23.96	15.19	./distfold-jobs/output-1gmiA/1gmiA_6.pdb
0.1908	23.29	15.56	./distfold-jobs/output-1gmiA/1gmiA_model3.pdb
0.1918	24.44	17.59	./distfold-jobs/output-1gmiA/1gmiA_4.pdb
0.1919	24.33	15.56	./distfold-jobs/output-1gmiA/1gmiA_model4.pdb
0.1935	26.94	15.37	./distfold-jobs/output-1gmiA/1gmiA_5.pdb
0.1972	23.77	16.67	./distfold-jobs/output-1gmiA/1gmiA_17.pdb
0.2028	24.93	14.81	./distfold-jobs/output-1gmiA/1gmiA_model5.pdb
0.2119	25.95	15.74	./distfold-jobs/output-1gmiA/1gmiA_model1.pdb
0.2139	23.44	16.48	./distfold-jobs/output-1gmiA/1gmiA_15.pdb
0.2324	23.18	18.33	./distfold-jobs/output-1gmiA/1gmiA_8.pdb
0.2345	21.00	18.70	./distfold-jobs/output-1gmiA/1gmiA_20.pdb
1gmxA
TM	RMSD	GDTTS	MODEL
0.0966	65.67	9.81	./distfold-jobs/output-1gmxA/extended.pdb
0.2052	12.90	21.96	./distfold-jobs/output-1gmxA/1gmxA_18.pdb
0.2115	13.10	21.73	./distfold-jobs/output-1gmxA/1gmxA_model4.pdb
0.2134	12.46	21.73	./distfold-jobs/output-1gmxA/1gmxA_5.pdb
0.2185	14.41	21.03	./distfold-jobs/output-1gmxA/1gmxA_model2.pdb
0.2257	14.50	22.20	./distfold-jobs/output-1gmxA/1gmxA_9.pdb
0.2292	14.06	20.33	./distfold-jobs/output-1gmxA/1gmxA_15.pdb
0.2336	14.70	21.73	./distfold-jobs/output-1gmxA/1gmxA_model3.pdb
0.2364	13.25	22.20	./distfold-jobs/output-1gmxA/1gmxA_model1.pdb
0.2396	12.92	22.43	./distfold-jobs/output-1gmxA/1gmxA_10.pdb
0.2399	12.96	21.96	./distfold-jobs/output-1gmxA/1gmxA_6.pdb
0.2415	12.47	23.60	./distfold-jobs/output-1gmxA/1gmxA_7.pdb
0.2457	14.26	25.23	./distfold-jobs/output-1gmxA/1gmxA_14.pdb
0.2476	12.39	23.83	./distfold-jobs/output-1gmxA/1gmxA_8.pdb
0.2659	11.35	25.23	./distfold-jobs/output-1gmxA/1gmxA_16.pdb
0.2723	11.12	26.40	./distfold-jobs/output-1gmxA/1gmxA_3.pdb
0.2856	12.04	26.17	./distfold-jobs/output-1gmxA/1gmxA_13.pdb
0.2978	11.31	27.80	./distfold-jobs/output-1gmxA/1gmxA_model5.pdb
